,Astro,EndoMural,Micro,Oligo,OPC,Excit_L2_3,Excit_L3,Excit_L3_4_5,Excit_L4,Excit_L5,Excit_L5_6,Excit_L6,Inhib
Astro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EndoMural,22376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Micro,18674.0,17411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oligo,19118.0,18100.0,17666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPC,16059.0,14581.0,13926.0,15276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excit_L2_3,16412.0,15822.0,13701.0,13561.0,12022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excit_L3,19523.0,20312.0,9257.0,8602.0,5427.0,16269.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excit_L3_4_5,36003.0,35136.0,21875.0,23236.0,14403.0,26051.0,65165.0,0.0,0.0,0.0,0.0,0.0,0.0
Excit_L4,35187.0,34645.0,21009.0,22443.0,13592.0,25680.0,65588.0,93269.0,0.0,0.0,0.0,0.0,0.0
Excit_L5,35997.0,35393.0,21844.0,23283.0,14362.0,26132.0,65621.0,94097.0,93556.0,0.0,0.0,0.0,0.0
Excit_L5_6,3838.0,3973.0,1488.0,1428.0,801.0,3101.0,21992.0,22563.0,22730.0,22738.0,0.0,0.0,0.0
Excit_L6,2201.0,2416.0,1245.0,2438.0,852.0,1111.0,11096.0,13914.0,14048.0,14144.0,5526.0,0.0,0.0
Inhib,8332.0,9315.0,4004.0,4244.0,3094.0,10563.0,19638.0,30673.0,30563.0,31023.0,3517.0,2009.0,0.0
