deconvo_tool,sample_id,cell_type,corr,rmse
cell2location,Br2720_Ant_IF,astro,0.0367466319809098,0.462981966124585
cell2location,Br2720_Ant_IF,micro,0.298908910078841,1.31859109366261
cell2location,Br2720_Ant_IF,neuron,0.409772219996172,0.805596211615737
cell2location,Br2720_Ant_IF,oligo,0.583525155184782,1.50967815731338
cell2location,Br2720_Ant_IF,other,0.0999326006671116,1.36231266529974
cell2location,Br6432_Ant_IF,astro,-0.00763296933926486,0.577454944150868
cell2location,Br6432_Ant_IF,micro,0.234426177803313,1.04986188079457
cell2location,Br6432_Ant_IF,neuron,0.418557671973577,0.940190910901978
cell2location,Br6432_Ant_IF,oligo,0.564229067724455,1.14001089362001
cell2location,Br6432_Ant_IF,other,0.118869803187385,1.83522225969471
cell2location,Br6522_Ant_IF,astro,-0.0102311827480543,0.466471182139467
cell2location,Br6522_Ant_IF,micro,0.223320989796908,0.880159970263367
cell2location,Br6522_Ant_IF,neuron,0.367027423627017,0.640712597508985
cell2location,Br6522_Ant_IF,oligo,0.651998969792496,1.32729155249613
cell2location,Br6522_Ant_IF,other,0.241522256936137,1.79032574091361
cell2location,Br8667_Post_IF,astro,-0.0287054397310449,0.484967211098284
cell2location,Br8667_Post_IF,micro,0.326341034084983,0.6598295036135
cell2location,Br8667_Post_IF,neuron,0.350900534192086,1.12239786616796
cell2location,Br8667_Post_IF,oligo,0.456267300766465,0.879580568407122
cell2location,Br8667_Post_IF,other,0.280484150877509,2.21028637406543
SPOTlight,Br2720_Ant_IF,astro,0.269321256208753,0.536559682124055
SPOTlight,Br2720_Ant_IF,micro,0.2172789760921,1.32889900929176
SPOTlight,Br2720_Ant_IF,neuron,0.546632992863622,1.66257381140473
SPOTlight,Br2720_Ant_IF,oligo,0.744582367006595,1.34380874602588
SPOTlight,Br2720_Ant_IF,other,0.232501731948417,1.2080388666167
SPOTlight,Br6432_Ant_IF,astro,0.315843910055231,0.671719711697114
SPOTlight,Br6432_Ant_IF,micro,0.19257444127586,1.05586328979543
SPOTlight,Br6432_Ant_IF,neuron,0.619413799810733,1.69866499948444
SPOTlight,Br6432_Ant_IF,oligo,0.635111015113203,1.13677028125228
SPOTlight,Br6432_Ant_IF,other,0.408526192686504,1.44641482653902
SPOTlight,Br6522_Ant_IF,astro,0.386172024477207,0.44937153978868
SPOTlight,Br6522_Ant_IF,micro,0.180941627613785,0.893797038903243
SPOTlight,Br6522_Ant_IF,neuron,0.441304978220694,1.81165838311021
SPOTlight,Br6522_Ant_IF,oligo,0.761421119544979,1.15997826071032
SPOTlight,Br6522_Ant_IF,other,0.463294208405763,1.41987857180477
SPOTlight,Br8667_Post_IF,astro,0.293825690894666,0.564573667194399
SPOTlight,Br8667_Post_IF,micro,0.143366979903664,0.705702305526407
SPOTlight,Br8667_Post_IF,neuron,0.618393582848701,1.55822142251294
SPOTlight,Br8667_Post_IF,oligo,0.607420681115886,0.938396900854423
SPOTlight,Br8667_Post_IF,other,0.680655295593704,1.66360953361892
tangram,Br2720_Ant_IF,astro,0.076558268677083,0.693258308735417
tangram,Br2720_Ant_IF,micro,0.16433271767077,1.39331092929749
tangram,Br2720_Ant_IF,neuron,0.346037715690281,2.5147121908949
tangram,Br2720_Ant_IF,oligo,0.577235146536395,1.34452860399016
tangram,Br2720_Ant_IF,other,0.0705607721626307,1.44488397919075
tangram,Br6432_Ant_IF,astro,0.0688330084428362,0.7542084871451
tangram,Br6432_Ant_IF,micro,0.162510383906863,1.11270326764842
tangram,Br6432_Ant_IF,neuron,0.451615358890683,2.50103504035497
tangram,Br6432_Ant_IF,oligo,0.533890916055527,1.21442090353622
tangram,Br6432_Ant_IF,other,0.0887130009655031,1.9274763503456
tangram,Br6522_Ant_IF,astro,0.0741712292291008,0.672793487363032
tangram,Br6522_Ant_IF,micro,0.146587440047132,0.952568091515929
tangram,Br6522_Ant_IF,neuron,0.335674491666071,2.43731316926364
tangram,Br6522_Ant_IF,oligo,0.630308676349303,1.19774427178263
tangram,Br6522_Ant_IF,other,0.188866672494849,1.83795995104965
tangram,Br8667_Post_IF,astro,0.0247458947153524,0.698327698590065
tangram,Br8667_Post_IF,micro,0.135190421026615,0.750088126432359
tangram,Br8667_Post_IF,neuron,0.443813276053933,2.29488779426122
tangram,Br8667_Post_IF,oligo,0.464980578783564,1.14208048144032
tangram,Br8667_Post_IF,other,0.24821984713695,2.28894035387464
