"","Number.of.Reads","Mean.Reads.per.Spot","Median.Genes.per.Spot","Median.UMI.Counts.per.Spot","Valid.Barcodes","Sequencing.Saturation","Q30.Bases.in.Barcode","Q30.Bases.in.RNA.Read","Q30.Bases.in.UMI","Reads.Mapped.to.Genome","Reads.Mapped.Confidently.to.Genome","Reads.Mapped.Confidently.to.Intergenic.Regions","Reads.Mapped.Confidently.to.Intronic.Regions","Reads.Mapped.Confidently.to.Exonic.Regions","Reads.Mapped.Confidently.to.Transcriptome","Reads.Mapped.Antisense.to.Gene","Total.Genes.Detected","study"
"Br2743_ant",177157767,43581.2,1063,1650,97.2,92.2,94.1,93.4,94.4,90,72.9,7.9,3,62,60.5,0.3,20983,"current"
"Br2743_mid",197423236,46496.3,1495.5,2438.5,97.1,91.7,94.1,94.2,94.4,91.8,81.7,7.2,2.7,71.8,69.9,0.7,21820,"current"
"Br2743_post_5",179860259,46487.5,1443,2200,97,92.5,94.2,92.8,94.6,92.8,84.7,7.4,2.2,75.1,73.5,0.5,20930,"current"
"3942_ant",260599165,66632.4,2029,3453,96.8,89.4,93.6,91.2,93.9,75.4,68.8,7.1,2.2,59.5,57.8,0.3,22194,"current"
"3942_mid",180617936,45982.2,1528,2523,97.1,93,94.7,93.4,95.1,96.2,92.8,4.5,1.8,86.4,83.7,1.3,22140,"current"
"3942_post",303081890,68882.2,2388,4128,96.9,90.4,94,93.4,94.3,87.7,84.5,6.5,2.5,75.5,73.9,0.5,22708,"current"
"Br6423_ant",257160696,65837.4,1331.5,2063.5,96.8,94.5,93.9,92.1,94.1,82.3,77.6,5.5,2.3,69.9,68.1,0.5,21156,"current"
"Br6423_mid",106380870,26702,1467,2314,96.8,88.2,94.4,93.9,94.7,96.3,91.6,5.1,1.9,84.6,81.9,1.4,21514,"current"
"Br6423_post_7",177832304,46178.2,1488,2223,96.8,93.4,94.3,93.8,94.6,95.6,91.7,5.4,2.1,84.1,82,1,21313,"current"
"Br8492_ant",311848464,65063.3,1267,1902,96.5,93.8,93.4,91,93.7,74.5,69.2,6,2.1,61.1,59.4,0.4,21048,"current"
"Br8492_mid",105315677,23746.5,1056,1513,96.8,91.7,94.6,93.8,95,97.1,91.7,5.5,2,84.2,81.4,1.5,20811,"current"
"Br8492_post",226227723,48988.2,1137,1616,96.8,95.2,94,93.3,94.4,93.8,88.2,5.6,1.7,80.9,78.4,1.3,20967,"current"
"151507",325097795,76928,1384,2463,96.9,95.3,97.1,95.2,97.2,96.3,93.4,6.4,1.9,85,79.5,3.3,21151,"pilot"
"151508",264048425,60230,1159,2019,96.9,95.2,97,95.1,97,96.6,93.8,7.5,1.8,84.5,79.3,2.8,20737,"pilot"
"151509",281536357,58788,1407,2416,96.5,94,96.8,95,96.8,95.6,92.5,6.8,2,83.7,77.3,4.1,21279,"pilot"
"151510",271009717,58482,1344,2319,96.6,94.1,97,95.1,97,95.9,92.7,7.4,1.9,83.4,77.5,3.6,21089,"pilot"
"151669",335637329,91679,1737,3470,97.2,94,96.9,95.2,96.9,95.2,91.9,8.1,1.9,81.8,77.7,1.9,21235,"pilot"
"151670",229265721,65541,1607,3113,97.2,92.6,96.8,94.6,96.9,95.6,92.6,8,1.9,82.7,78.5,2,21019,"pilot"
"151671",488495408,118855,1853,3743,97.1,95.5,97.1,95.1,97.1,96.5,93.8,7.5,1.8,84.5,79.8,2.5,21631,"pilot"
"151672",280822592,69943,1740,3482,97.2,92.7,96.8,95.2,96.8,95.4,92.3,7.7,1.8,82.7,78.4,2,21343,"pilot"
"151673",300684902,82628,2113,4120,97,92.1,97,95.1,97.1,95.7,92.8,6.4,2.2,84.2,79.5,2.4,21842,"pilot"
"151674",822237691,223859,2610,5334,97.1,96.1,96.8,95.1,96.9,94.5,91.1,6.9,2.3,81.9,77.6,2.1,22437,"pilot"
"151675",233478770,64999,1695,3139,97,92.1,97,95.5,97,96,92.8,6.9,2.2,83.8,79.4,2.1,21344,"pilot"
"151676",320748023,92701,1813,3419,97.2,93.8,97,95.1,97,94.5,91,7.3,2.2,81.5,77.6,1.7,21312,"pilot"
